pse_pssm0,pse_pssm1,pse_pssm2,pse_pssm3,pse_pssm4,pse_pssm5,pse_pssm6,pse_pssm7,pse_pssm8,pse_pssm9,pse_pssm10,pse_pssm11,pse_pssm12,pse_pssm13,pse_pssm14,pse_pssm15,pse_pssm16,pse_pssm17,pse_pssm18,pse_pssm19,pse_pssm20,pse_pssm21,pse_pssm22,pse_pssm23,pse_pssm24,pse_pssm25,pse_pssm26,pse_pssm27,pse_pssm28,pse_pssm29,pse_pssm30,pse_pssm31,pse_pssm32,pse_pssm33,pse_pssm34,pse_pssm35,pse_pssm36,pse_pssm37,pse_pssm38,pse_pssm39
0.570248425,0.20907392,-0.11593842,-0.012383776,-0.437484752,0.052120257,0.09942417,-0.050459329,0.225561471,-0.020558753,-0.053046969,-0.153298254,0.067765927,-0.22888555,-0.322700638,0.139268128,0.225600429,-0.246201941,-0.120511216,0.172406869,1.34041338,1.951383305,1.430565606,2.447969555,1.547141895,1.229989812,2.149925369,2.573022174,1.613773091,2.213211922,1.883886361,1.3461515,1.498218926,2.010798862,1.775915689,0.95444652,0.861212705,2.291972539,1.505180119,1.828526418
0.751026036,0.147696841,-0.054554607,-0.123216191,-0.384468587,0.096562153,0.037058492,0.044101342,0.02360138,0.015955869,0.027224111,-0.061363185,0.178204328,-0.299124379,-0.376071204,0.24519424,0.331896183,-0.563854683,-0.324331532,0.288463394,1.712480633,2.096317177,1.770493864,2.181311491,1.258691954,1.072903564,1.627276606,2.730506348,1.507786554,2.834936778,2.061874843,1.306349385,1.581497932,1.85077868,2.199124243,0.960210436,1.235425585,1.612975648,1.184313694,2.306749165
0.402750296,0.025876626,0.136920538,-0.196598411,-0.092175937,0.176965391,-0.018969578,-0.032538017,-0.231069478,-0.058123994,0.04353028,0.108967881,0.140198709,-0.343075955,-0.129528874,0.461472696,0.377129693,-0.656455992,-0.205104441,0.089828568,1.076226839,1.891924679,1.771079967,1.980431473,3.30976426,1.547442402,1.201145996,3.377167066,0.607611995,2.273627409,2.597941187,1.44642768,1.194505012,1.71964934,3.017372497,1.409979277,1.611996894,1.559571958,1.445605186,1.561705955
0.441047217,0.084827437,-0.091875966,-0.033289441,-0.224646982,0.064405965,0.132141553,-0.079325285,0.111253723,-0.009643387,-0.024240037,-0.077854845,0.056032677,-0.160000236,-0.16789629,0.196335397,0.226878815,-0.386506247,-0.125186416,0.067542349,1.236870761,2.022826979,1.529120533,2.511809072,1.486688911,1.139411145,2.197770475,2.232790199,1.353583579,2.003872271,1.897636838,1.423350925,1.348667269,2.212121623,2.476233556,0.864555785,0.826627188,2.271489547,1.773343131,1.564703604
0.38797477,0.258724827,0.149303745,0.05107688,-0.966131321,0.297866751,0.068590785,-0.16118118,-0.003661828,-0.030413426,-0.286585622,0.134255919,0.126972323,-0.315501534,0.013420289,0.236751088,0.340271848,-0.40118822,-0.049289613,0.148743518,0.822000458,1.812833303,1.337754089,1.788875299,1.991425352,0.99873812,1.051875389,1.863253396,1.424102103,1.476890964,1.319713545,0.975593704,1.063418336,2.03043612,2.371136249,0.722420202,0.951697617,3.53304598,1.779480474,1.526155336
0.529174833,0.21850776,-0.272507421,0.147709233,-0.160239015,0.025707691,-0.031631843,-0.245460716,0.462254721,-0.243091868,-0.04535917,-0.439543575,0.14978729,-0.160956247,0.127182693,-0.137809093,-0.011951173,0.26912453,-0.130550874,-0.050347755,1.160505571,1.911645158,1.400825195,2.573488045,1.901353451,1.087787461,1.45001486,2.009090159,1.592698298,1.796571569,1.939439602,1.079103414,1.334316898,2.248785532,2.713376974,0.846133282,0.813287409,3.699908373,1.596416784,1.62828187
0.454336733,0.094079712,-0.013204458,-0.237167639,-0.632675057,0.187395918,-0.048062705,-0.107656486,-0.156244479,0.261093355,0.219765516,-0.045593961,0.315786077,-0.028219531,-0.552175955,0.333555137,0.330101201,-0.538439874,-0.116915767,0.280242264,1.233345151,1.983709127,1.501904847,1.985505565,0.792868813,1.274079751,1.475214452,2.155672206,0.999726622,2.60806951,2.369107046,1.200019353,1.380216731,2.21432849,1.378318912,1.235734508,1.015733072,1.50392614,1.312372626,1.798611274
0.255013334,0.05209961,0.056409893,-0.026348579,-0.133402768,-0.000941923,0.199959159,-0.134262605,0.056897596,0.11677466,-0.066878982,0.153072872,0.112572768,-0.069672584,-0.301922016,0.097634226,0.117976411,-0.545417931,0.007857705,0.052579156,1.133473299,1.50925948,1.420789477,2.496017911,1.659827192,0.921992316,1.608309819,2.53377687,1.235666452,2.360338382,1.83133478,1.497066225,1.355626634,2.254383108,2.422090764,0.912389389,1.1062562,2.895936697,1.844535998,1.604692879
0.391853166,0.497988788,-0.175610074,-0.063488888,0.011065979,0.170408646,-0.033188785,-0.434258524,0.535981544,-0.098902459,0.014745922,-0.245659982,0.308621404,-0.170690862,-0.397532289,0.112461771,0.108461606,-0.235606029,-0.190757293,-0.105893641,1.167971438,2.066438531,1.086002292,1.96536226,1.229754806,0.862873375,1.703765406,1.819822312,1.334083596,2.222982343,2.217893726,1.171785068,1.295504378,2.006775716,1.590847856,1.073973624,0.817512957,3.745826185,1.260628239,1.439682223
0.149801753,0.093528334,0.44724373,0.044555592,-0.134689258,-0.01388362,-0.036251501,0.002541998,0.074473749,0.029030845,-0.332073386,0.038693249,-0.076490829,-0.237292138,-0.317130238,0.387891665,0.304539484,-0.449858607,-0.092258096,0.117627273,0.927286446,1.936436194,2.12981578,2.30766703,3.061182828,1.04244961,1.235119366,2.701002584,1.959007107,2.798559105,1.514606056,1.239898006,1.464610319,1.724416277,2.510875791,1.129076507,1.31622517,1.947699789,1.104794562,2.283376422
