pse_pssm0,pse_pssm1,pse_pssm2,pse_pssm3,pse_pssm4,pse_pssm5,pse_pssm6,pse_pssm7,pse_pssm8,pse_pssm9,pse_pssm10,pse_pssm11,pse_pssm12,pse_pssm13,pse_pssm14,pse_pssm15,pse_pssm16,pse_pssm17,pse_pssm18,pse_pssm19,pse_pssm20,pse_pssm21,pse_pssm22,pse_pssm23,pse_pssm24,pse_pssm25,pse_pssm26,pse_pssm27,pse_pssm28,pse_pssm29,pse_pssm30,pse_pssm31,pse_pssm32,pse_pssm33,pse_pssm34,pse_pssm35,pse_pssm36,pse_pssm37,pse_pssm38,pse_pssm39
0.014212322,0.356725935,0.233526077,-0.120371774,-0.558661121,-0.035900603,0.131777207,-0.283157386,0.077559957,0.17655315,0.077804137,0.406709761,0.065218217,-0.027701663,-0.30731943,0.281187255,0.200974405,-0.968977158,0.082993181,0.196847531,0.800276657,2.275637376,1.768219086,1.637874882,2.18248492,0.875173241,1.509382082,2.279003895,2.117901838,2.099261445,1.838456504,1.68947388,1.552387761,2.254064229,2.812850168,1.063732892,1.095012265,1.201141755,2.02233174,1.451309063
0.248405272,0.253894251,0.163856804,0.037133379,-0.581198905,0.247305266,0.34000808,-0.146112532,-0.287650322,0.047866824,-0.087597106,0.340622116,0.125760568,-0.452071709,-0.242340871,0.442390036,0.506722332,-0.928781297,-0.270651466,0.242439279,1.181928673,1.960602366,1.835664111,1.967690151,1.009135353,1.223975627,1.909474734,2.95898321,0.768051987,3.380464783,1.91468205,1.569020575,1.659454186,1.432728052,1.418241984,1.3506285,1.064012055,0.910973712,1.445670847,2.119479168
0.128261156,0.131280654,0.112188653,0.037141771,-0.267282229,0.221746802,0.314956982,-0.300760437,0.059341263,0.136996296,-0.121198562,0.390097661,0.222168704,-0.239236909,-0.300536262,0.130940827,0.144699863,-0.773152055,-0.181473027,0.153818847,1.264072721,1.619848951,1.341819888,1.989979213,2.335712175,1.105963932,1.666421006,2.671844582,1.613870276,2.450568332,1.792977454,1.831335639,1.218266377,1.861107564,1.946411034,0.860257354,0.979510263,3.048339873,1.323458883,2.110948518
0.090146162,0.290832218,0.062288324,0.152881414,-0.538442971,0.204573536,0.361796683,-0.305255456,0.308901341,0.013818327,-0.145288018,0.241862303,0.206117678,-0.190082509,-0.410431015,0.142340027,0.093477783,-0.610867534,0.005088668,0.02624304,0.897206485,1.587859427,1.284453699,1.701732378,2.608527316,1.038811906,1.781707941,1.836344127,1.717810015,1.967095753,1.98768325,1.294515553,1.481244711,2.034259376,1.461206945,0.727082649,0.598477313,3.811933559,1.722728553,1.638783848
0.151077995,0.365041057,-0.001474188,0.024140467,-0.239464678,0.221819256,0.275720143,-0.278205294,0.29961595,-0.099004149,-0.197231988,0.261037068,0.015085107,-0.260615536,-0.057006394,0.173540867,0.092199324,-0.645678531,-0.093725057,-0.00687142,1.013540053,1.696292149,1.13259521,1.647604079,2.501931449,0.916606492,1.48047116,2.23040754,1.878001704,2.372987816,2.057506348,1.395867106,1.861160053,2.141984484,1.982464378,0.89055602,0.863697686,4.102400177,1.626937447,1.809406885
0.191590232,0.12042858,-0.027736321,-0.01004595,0.024394476,0.079251158,0.125375354,-0.231294204,0.147945909,0.104390719,-0.133459165,0.168528991,0.209595485,-0.226994567,-0.270858136,0.191980469,0.232354775,-0.614136314,-0.183346068,0.102034578,0.930278905,1.688381793,1.259860719,2.285550945,2.120737849,1.081686638,1.782743023,2.816969489,1.947955994,2.112661729,1.831681897,1.611655212,1.515177937,1.80571369,2.154441524,0.927734574,1.049139861,3.270506111,1.28814964,1.866361551
0.204099329,0.394450571,0.110015776,-0.110152661,-0.579723908,0.085509111,0.22005447,-0.107555531,-0.124857875,0.083127848,0.005163565,0.442288579,-0.155071658,-0.077620971,-0.360645308,0.292787503,0.132860275,-0.624205318,0.069076412,0.100399791,0.919672804,1.938113792,1.584002364,1.813907617,1.554137571,1.047468666,1.700070623,3.069378797,1.347683505,2.381707495,2.200020522,1.622697792,1.046825114,2.620666872,1.990128191,0.860067793,0.608067176,2.52223713,2.05577119,1.761352701
0.185236817,0.116818907,-0.009734245,-0.025191965,-0.328943768,-0.012839171,0.29223675,-0.184244561,-0.042176083,0.225117738,0.056809876,0.271833491,0.180645353,-0.196173748,-0.207286411,0.16910431,0.133120898,-0.752013782,0.021155194,0.106524401,0.863614371,1.343979865,1.426720091,2.059694029,2.098802751,1.032558819,1.86504392,2.306435786,2.040270194,2.374014048,2.182515557,1.42630122,1.539772026,1.717699087,2.447072529,0.985236334,1.077831353,2.766406814,1.719761101,1.72191179
0.210116765,0.199627088,0.09080504,-0.026701028,-0.416163297,0.146092223,0.13040846,-0.195201904,0.050034965,0.036626893,-0.035713548,0.178811342,0.077112375,-0.202927064,-0.110434295,0.284965802,0.126726276,-0.61410371,-0.097272047,0.167189663,1.066151321,1.964939854,1.633597485,1.983717235,1.881428908,1.080648458,1.451440875,2.127942651,1.708291687,2.248674179,1.914068289,1.442880759,1.450423875,2.038256324,2.586106138,1.159783168,0.749575227,2.566681532,2.033122444,1.971000995
0.481517473,0.376436887,-0.154424185,0.236389972,-0.994397125,0.046732077,0.069406084,0.015537721,0.100946322,-0.188357301,-0.01655512,-0.199938134,-0.21636442,-0.143826018,-0.124578074,0.214544153,0.305223601,-0.010073883,-0.005868906,0.207648877,0.823866247,1.770642857,1.18366298,2.194736959,0.893678582,1.051976272,1.426040261,2.398979933,1.39731299,1.842774782,1.900424046,1.006828564,1.176645437,1.747457067,2.464632439,1.035212103,0.929470651,2.712661445,1.675924883,1.492740899
0.195278314,0.098654057,-0.079980505,-0.184105799,0.01753089,0.02459295,0.062886816,-0.312881495,0.277956375,0.152973164,-0.002756878,0.125387385,0.2408246,-0.0664757,-0.437267999,0.038975157,0.077388602,-0.28947296,0.016126324,0.044366705,0.995276831,1.460494235,1.297418071,2.306567993,1.923482421,1.032204855,1.850496171,2.472845486,1.642184469,2.13456509,2.214413299,1.600720447,1.36227907,2.073706089,1.988869915,1.018534147,0.800384848,3.881163802,1.633471188,1.57970545
0.900681158,-0.04792046,0.00113811,0.064012278,-0.471010577,0.325162277,0.601007407,0.039789332,-0.28471063,-0.222246203,-0.25207172,0.373126409,0.010485291,-0.638501554,0.031548017,0.538864794,0.29158642,-0.934009146,-0.418837401,0.091906198,2.11659733,0.947059343,1.342650803,1.583247866,0.795538001,1.07610175,1.472083834,2.79596897,0.839263523,2.461408043,2.264552763,1.439866014,1.283264818,1.267027182,1.403146407,1.083019882,0.378178955,0.484291538,0.847632439,2.324355818
0.457483737,0.14047615,0.028572951,0.001078553,-0.514930855,0.238758261,0.275832004,-0.090280443,-0.032927678,-0.050817384,-0.06694422,0.245262755,0.135790465,-0.232135335,-0.278436578,0.233590976,0.17029105,-0.680534617,-0.046466461,0.066336666,1.529595113,1.915752695,1.426606869,2.558981604,2.23142215,1.326261348,1.718204102,2.878991737,1.687191268,2.078361141,1.678584409,1.543800074,1.537952224,2.227657021,2.019140722,0.955641085,0.842961871,2.586719077,2.010394203,1.468539029
0.150854767,0.112471528,-0.108227617,-0.056568773,0.235894115,-0.017389802,-0.049808962,-0.328140569,0.548042905,-0.202528355,-0.311211664,-0.265591151,0.248369313,-0.160030817,-0.10763057,-0.050504828,0.020838556,0.349813106,0.252645877,-0.261297057,1.276984925,1.395216104,1.094312913,1.583056093,2.622327159,0.996763491,1.352074608,2.03788254,1.690284846,1.468551935,1.598061854,0.943858727,1.504903841,1.683328088,2.076278779,0.919518198,0.695434312,5.324752695,1.617401702,1.15872435
0.024710664,0.127112309,-0.082733334,-0.019265765,-0.085332123,0.066691978,-0.021070383,-0.289841909,0.617061476,-0.256911571,-0.440058332,-0.245121058,0.299302521,-0.081212468,-0.066945264,-0.122032461,0.045839574,0.470312562,0.289324776,-0.229831191,1.022944091,1.537776982,1.063617852,1.88940818,3.171700846,0.968558206,1.568310544,1.965686009,1.395566906,1.580155141,1.602965567,0.985756807,1.419613523,1.741968382,2.182370615,0.701763135,0.759327476,6.004663724,1.569861679,1.421304022
0.197870357,-0.137344837,0.311303736,0.10115035,-0.524619422,0.136020562,-0.134852679,-0.120945067,0.279672323,-0.231803497,-0.444170269,-0.090328121,0.119091508,-0.088771349,-0.181179486,0.137613935,0.334309984,0.200746608,0.246368708,-0.110133346,1.158968844,1.028222441,1.287287435,1.825272,2.877174389,0.828118695,0.998606316,2.390859017,1.62104224,1.331307764,1.356520954,0.955966552,1.335039604,1.632918296,1.617661319,0.834990511,0.863691575,4.732502313,1.464355479,1.392701716
